,VENTA,BRUTA,CONSUI,AGREGA,CTO,CTOINS,GASTOS,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ENERGIA,FLETES,PUBLICI,OTROS,TOTPERSO,PERREMUN,SUELDOS,PRESTAC,TOTREM,INVINI,INVFIN,INVPRO,ROTACION,outlier_label,outlier_score,is_outlier
5884,1466249106.0,396049382.3,233498937.3,162550445.0,1065295836.0,1070199723.0,1319644620.0,0.0,1359.666667,11487199.0,34068.0,8235259.333,1310657.0,4857591.333,14380904.33,81318406.33,18615625.33,315.0,293.6666667,31847607.67,14281433.0,44669029.95,96272289.33,110721798.0,103497043.7,1065295836.0,-1,-0.797965122132285,True
4572,1466249106.0,396049382.3,233498937.3,162550445.0,1065295836.0,1070199723.0,1319644620.0,0.0,1359.666667,11487199.0,34068.0,8235259.333,1310657.0,4857591.333,14380904.33,81318406.33,18615625.33,315.0,293.6666667,31847607.67,14281433.0,44669029.95,96272289.33,110721798.0,103497043.7,1065295836.0,-1,-0.797965122132285,True
5620,1466249106.0,396049382.3,233498937.3,162550445.0,1065295836.0,1070199723.0,1319644620.0,0.0,1359.666667,11487199.0,34068.0,8235259.333,1310657.0,4857591.333,14380904.33,81318406.33,18615625.33,315.0,293.6666667,31847607.67,14281433.0,44669029.95,96272289.33,110721798.0,103497043.7,1065295836.0,-1,-0.797965122132285,True
3949,1193719473.0,213628276.0,79669777.5,133958498.5,980091197.0,980091197.0,1073311102.0,195.0,838087.0,140577.0,1354879.0,11372926.0,1468632.0,2065166.0,17806535.0,4222131.0,6609558.5,2205.0,2058.0,44092500.0,18453539.0,51597279.96,194002998.0,247968001.0,220985499.5,980091197.0,-1,-0.7967017258161987,True
2832,919397245.6,206428931.0,71331680.5,135097250.5,712988882.0,712988882.0,810120380.0,0.0,1208906.0,2726225.0,0.0,17179436.0,1948898.0,6615990.0,12102995.0,2954922.0,10552429.5,2671.0,2528.0,55850980.0,19719847.0,73179869.36,148675303.0,175207987.0,161941645.0,712988882.0,-1,-0.7960884511947579,True
3790,1177717207.0,688354402.0,210952885.0,477401517.0,489362805.0,489362805.0,745172256.0,0.0,2369795.0,7671015.0,0.0,2101553.0,388637.0,97745.0,5231578.0,154413198.0,23419445.0,455.0,402.0,54023851.0,19425952.0,70847163.36,150747730.0,384285308.0,267516519.0,489362805.0,-1,-0.7929037766936253,True
3981,704554707.3,252779839.3,120003548.5,132776290.8,451774868.0,451774868.0,582354695.7,4758.666667,4063406.0,6774899.333,5341555.0,35129058.0,424945.3333,6052459.667,5297156.667,8600960.0,9088681.833,1461.333333,1379.0,29521076.0,11813869.0,36200135.59,109149628.0,152349865.3,130749746.7,451774868.0,-1,-0.7921502809019983,True
4722,704554707.3,252779839.3,120003548.5,132776290.8,451774868.0,451774868.0,582354695.7,4758.666667,4063406.0,6774899.333,5341555.0,35129058.0,424945.3333,6052459.667,5297156.667,8600960.0,9088681.833,1461.333333,1379.0,29521076.0,11813869.0,36200135.59,109149628.0,152349865.3,130749746.7,451774868.0,-1,-0.7921502809019983,True
5932,704554707.3,252779839.3,120003548.5,132776290.8,451774868.0,451774868.0,582354695.7,4758.666667,4063406.0,6774899.333,5341555.0,35129058.0,424945.3333,6052459.667,5297156.667,8600960.0,9088681.833,1461.333333,1379.0,29521076.0,11813869.0,36200135.59,109149628.0,152349865.3,130749746.7,451774868.0,-1,-0.7921502809019983,True
4609,906015242.7,284797312.0,93470937.5,191326374.5,621219324.0,621219324.0,713403952.0,0.0,897355.0,2380672.0,7122399.0,17179862.0,234215.0,11301396.0,3149270.0,7497195.0,15059731.5,1444.0,1372.0,36970273.0,14535922.0,49810031.8,101555718.0,155857585.0,128706651.5,621219324.0,-1,-0.7913143045252239,True
8917,1904789500.0,201072304.0,133313332.5,67758971.5,1703766356.0,1703766356.0,1826631007.0,161.0,0.0,2102243.0,0.0,9742438.0,1398702.0,9620469.0,43025891.0,1678656.0,6286389.5,2400.0,1498.0,34157952.0,13577567.0,39210364.08,38415585.0,49072033.0,43743809.0,1703766356.0,-1,-0.7904741224917541,True
7980,715782564.7,253260638.3,104392444.7,148868193.7,462521926.3,462521926.3,576883666.3,120.3333333,8117159.333,3432196.0,1215220.333,39794263.0,1037491.0,6845208.0,14403786.33,1550794.0,3279749.667,1143.0,1116.333333,32994303.0,11066427.67,42169475.17,111277340.3,189608725.7,150443033.0,462521926.3,-1,-0.7860946525420736,True
3871,715782564.7,253260638.3,104392444.7,148868193.7,462521926.3,462521926.3,576883666.3,120.3333333,8117159.333,3432196.0,1215220.333,39794263.0,1037491.0,6845208.0,14403786.33,1550794.0,3279749.667,1143.0,1116.333333,32994303.0,11066427.67,42169475.17,111277340.3,189608725.7,150443033.0,462521926.3,-1,-0.7860946525420736,True
6009,715782564.7,253260638.3,104392444.7,148868193.7,462521926.3,462521926.3,576883666.3,120.3333333,8117159.333,3432196.0,1215220.333,39794263.0,1037491.0,6845208.0,14403786.33,1550794.0,3279749.667,1143.0,1116.333333,32994303.0,11066427.67,42169475.17,111277340.3,189608725.7,150443033.0,462521926.3,-1,-0.7860946525420736,True
4281,814498153.3,390058532.0,187164627.3,202893904.7,424439621.3,424439621.3,623704998.3,1110.666667,726602.0,9371871.333,370.3333333,11385791.67,772945.3333,910846.6667,37268229.67,59564218.0,6550604.333,917.3333333,794.0,33426997.67,16963724.0,47903798.08,72122834.0,155754095.0,113938464.5,424439621.3,-1,-0.7843108589365267,True
5991,814498153.3,390058532.0,187164627.3,202893904.7,424439621.3,424439621.3,623704998.3,1110.666667,726602.0,9371871.333,370.3333333,11385791.67,772945.3333,910846.6667,37268229.67,59564218.0,6550604.333,917.3333333,794.0,33426997.67,16963724.0,47903798.08,72122834.0,155754095.0,113938464.5,424439621.3,-1,-0.7843108589365267,True
8727,814498153.3,390058532.0,187164627.3,202893904.7,424439621.3,424439621.3,623704998.3,1110.666667,726602.0,9371871.333,370.3333333,11385791.67,772945.3333,910846.6667,37268229.67,59564218.0,6550604.333,917.3333333,794.0,33426997.67,16963724.0,47903798.08,72122834.0,155754095.0,113938464.5,424439621.3,-1,-0.7843108589365267,True
8689,1209889423.0,270179817.0,46083256.0,224096561.0,934103771.0,939709606.0,985277356.0,2928.0,103455.0,4965811.0,371520.0,3091712.0,1603457.0,1468472.0,4616045.0,2453885.0,4449667.0,864.0,846.0,41074985.0,16889771.0,52221325.6,219369529.0,656297911.0,437833720.0,934103771.0,-1,-0.7810011537321032,True
8694,1097724861.0,209169769.3,55671213.83,153498555.5,883540397.0,888555091.7,958411551.0,29432.33333,668511.3333,2696463.0,7714736.667,3336775.667,943664.3333,1242991.0,5179054.0,11549849.33,9582585.5,673.6666667,651.6666667,29676763.33,12116134.67,40500462.35,149697493.3,250714160.3,200205826.8,883540397.0,-1,-0.7804023646664701,True
4411,1097724861.0,209169769.3,55671213.83,153498555.5,883540397.0,888555091.7,958411551.0,29432.33333,668511.3333,2696463.0,7714736.667,3336775.667,943664.3333,1242991.0,5179054.0,11549849.33,9582585.5,673.6666667,651.6666667,29676763.33,12116134.67,40500462.35,149697493.3,250714160.3,200205826.8,883540397.0,-1,-0.7804023646664701,True
3876,1097724861.0,209169769.3,55671213.83,153498555.5,883540397.0,888555091.7,958411551.0,29432.33333,668511.3333,2696463.0,7714736.667,3336775.667,943664.3333,1242991.0,5179054.0,11549849.33,9582585.5,673.6666667,651.6666667,29676763.33,12116134.67,40500462.35,149697493.3,250714160.3,200205826.8,883540397.0,-1,-0.7804023646664701,True
3687,1444034324.0,213393070.0,45284004.0,168109066.0,1222796177.0,1230657000.0,1289820501.0,0.0,94698.0,3942000.0,690264.0,2516400.0,1166000.0,1600839.0,3566856.0,9634000.0,8326497.0,656.0,628.0,33733776.0,13436945.0,45541387.08,211943160.0,346865000.0,279404080.0,1222796177.0,-1,-0.7794257568500624,True
4273,872299747.5,229494277.0,71002671.5,158491605.5,642808028.0,642808028.0,728544104.0,584.0,0.0,18016156.0,0.0,1434265.0,1479696.0,101146.0,2876692.0,19553846.0,15325297.5,437.0,407.0,62552651.0,24535784.0,84207030.76,296956845.0,271449993.0,284203419.0,642808028.0,-1,-0.7792236359916662,True
4178,869110761.4,264361159.0,63569125.5,200792033.5,604768008.0,604768008.0,700777057.0,0.0,3048990.0,10402156.0,40901.0,3963233.0,1244035.0,122979.0,5585626.0,2360290.0,21293265.5,447.0,392.0,73382122.0,30230354.0,100611572.8,188997153.0,184112283.0,186554718.0,604768008.0,-1,-0.77842957445275,True
9891,601217703.0,367401997.0,173217223.0,194184774.0,233809824.0,233809824.0,504136799.0,43.0,0.0,65163720.0,0.0,12884638.0,906000.0,630236.0,12560458.0,0.0,71022935.0,421.0,396.0,52211966.0,28163828.0,77813630.96,151383881.0,313880811.0,232632346.0,233809824.0,-1,-0.7783112714985271,True
3822,1472005741.0,199387132.0,30141051.0,169246081.0,1272618609.0,1272618609.0,1302328520.0,1707.0,0.0,7032152.0,0.0,76076.0,2374019.0,725874.0,34152.0,721647.0,3992630.0,1074.0,886.0,27458371.0,10885535.0,37388322.08,493906939.0,335506560.0,414706749.5,1272618609.0,-1,-0.7774775031519991,True
6174,1028758490.0,263159465.0,50587121.0,212572344.0,765576725.0,765576725.0,838671346.0,470.0,3746032.0,4672328.0,0.0,0.0,3320899.0,237803.0,4505984.0,8382328.0,18006412.0,287.0,252.0,46578445.0,31449799.0,75517535.28,131014490.0,160759970.0,145887230.0,765576725.0,-1,-0.7772631280674457,True
3950,656798512.0,157263973.0,59453282.5,97810690.5,499534539.0,499534539.0,579167521.0,235779.0,998773.0,1769877.0,0.0,13947678.0,71304.0,15338294.0,188316.0,6149689.0,6570108.5,1775.0,1737.0,35399519.0,16561101.0,50509224.88,101047612.0,109758440.0,105403026.0,499534539.0,-1,-0.7764176856539726,True
4434,1059968515.0,168990708.0,53582885.5,115407822.5,890995821.0,890995821.0,960550667.0,1109.0,1067272.0,6644271.0,0.0,897545.0,872126.0,561949.0,4455669.0,11878504.0,10847682.5,406.0,368.0,55873681.0,37274480.0,89975571.48,198323466.0,236189993.0,217256729.5,890995821.0,-1,-0.7742657304847238,True
5883,2259639746.0,249554627.3,47275627.0,202279000.3,1981014738.0,2010085119.0,2081388971.0,0.0,133914.6667,4785135.333,0.0,861120.0,1332219.667,69674.33333,16254997.67,13393047.33,6113905.0,129.6666667,118.6666667,11588263.0,3592038.333,14716323.04,170846998.7,356020987.0,263433992.8,1981014738.0,-1,-0.7732080432316351,True
5880,2259639746.0,249554627.3,47275627.0,202279000.3,1981014738.0,2010085119.0,2081388971.0,0.0,133914.6667,4785135.333,0.0,861120.0,1332219.667,69674.33333,16254997.67,13393047.33,6113905.0,129.6666667,118.6666667,11588263.0,3592038.333,14716323.04,170846998.7,356020987.0,263433992.8,1981014738.0,-1,-0.7732080432316351,True
5646,2259639746.0,249554627.3,47275627.0,202279000.3,1981014738.0,2010085119.0,2081388971.0,0.0,133914.6667,4785135.333,0.0,861120.0,1332219.667,69674.33333,16254997.67,13393047.33,6113905.0,129.6666667,118.6666667,11588263.0,3592038.333,14716323.04,170846998.7,356020987.0,263433992.8,1981014738.0,-1,-0.7732080432316351,True
5316,1467647461.0,182888080.0,77979490.5,104908589.5,1274646317.0,1284759381.0,1377871989.0,8674.0,369841.0,480049.0,1770179.0,1219988.0,199493.0,364527.0,24943097.0,17559601.0,9108064.5,530.0,511.0,30226878.0,11088810.0,40259386.28,161570967.0,31474408.0,96522687.5,1274646317.0,-1,-0.7726311772997478,True
6160,688913150.1,368042245.0,101206397.0,266835848.0,320868114.0,320868114.0,409923533.0,159.0,961070.0,6407918.0,473485.0,17870345.0,1278000.0,2825610.0,15633440.0,18161992.0,5307178.0,1064.0,551.0,22208754.0,6951189.0,28571107.28,131631569.0,203774198.0,167702883.5,320868114.0,-1,-0.7725405873727641,True
5601,676323482.0,202162865.0,121765848.0,80397017.0,474160617.0,474160617.0,608660484.0,0.0,0.0,63429779.0,0.0,2315011.0,444425.0,99571.0,3354671.0,18815480.0,10901762.0,914.0,866.0,106168687.0,35166765.0,134083980.5,93584844.0,151676146.0,122630495.0,474160617.0,-1,-0.7686832012752652,True
2825,425589675.7,245069011.0,81866063.0,163202948.0,180514259.0,180514259.0,293008061.0,0.0,0.0,27883755.0,0.0,1694508.0,2153046.0,2382639.0,8515001.0,6354875.0,23398289.0,1070.0,1047.0,100121538.0,43226950.0,139297386.6,91353221.0,0.0,45676610.5,180514259.0,-1,-0.7680587014989794,True
8793,471724313.0,106167772.0,81242521.5,24925250.5,365556541.0,365556541.0,458274751.0,0.0,348434.0,5371404.0,1523855.0,24049857.0,1417277.0,7931097.0,4135062.0,11700134.0,5074015.5,1867.0,1756.0,42529999.0,15774123.0,53494564.32,77661452.0,63593216.0,70627334.0,365556541.0,-1,-0.7678652078010019,True
5600,788996850.0,339332504.0,120944210.5,218388293.5,449664346.0,449664346.0,577592105.0,0.0,478540.0,2976299.0,0.0,2987560.0,563080.0,203431.0,7359680.0,85564964.0,5400144.5,415.0,379.0,60682640.0,22455022.0,80418795.32,177330514.0,166656836.0,171993675.0,449664346.0,-1,-0.765180197906667,True
3667,838100430.0,184983557.0,41706914.5,143276642.5,649765276.0,653116873.0,699360103.0,24788.0,0.0,4286367.0,2388026.0,3250000.0,1575212.0,751398.0,1880805.0,16132289.0,1201727.5,653.0,624.0,33943157.0,13666063.0,46259930.76,155682657.0,178554328.0,167118492.5,649765276.0,-1,-0.7628107466303012,True
8912,702284870.0,233173455.0,55395058.0,177778397.0,469111415.0,469111415.0,533784233.0,462.0,2230509.0,1897700.0,146355.0,12250328.0,1400625.0,475408.0,18130053.0,9244219.0,3136023.0,533.0,518.0,20240891.0,8608386.0,28014532.24,315077364.0,349544187.0,332310775.5,469111415.0,-1,-0.762475246798474,True
3896,942554431.6,173700692.0,52288119.5,121412572.5,768868057.0,768868057.0,831689859.0,62213.0,5835558.0,9863277.0,0.0,2268353.0,2739839.0,535926.0,12938913.0,213494.0,1863688.5,310.0,268.0,16898794.0,8772194.0,24788598.08,97533306.0,135143593.0,116338449.5,768868057.0,-1,-0.7600382529444991,True
8275,612166625.9,107603882.0,41205792.0,66398090.0,496659639.0,504542360.0,563353521.0,437384.0,2661732.0,953957.0,0.0,8234233.0,604474.0,5233593.0,777682.0,1983814.0,14158270.0,1314.0,1288.0,23256037.0,8842129.0,26415709.0,37962626.0,81594898.0,59778762.0,496659639.1,-1,-0.7577081906642963,True
3917,370368539.4,191946813.0,94800681.5,97146131.5,178424359.0,178424359.0,291121862.0,0.0,1098299.0,22244865.0,1464398.0,512493.0,1719880.0,99785.0,3516402.0,41223491.0,18907052.5,756.0,685.0,39279997.0,17385515.0,54731678.64,27774243.0,46598408.0,37186325.5,178424359.0,-1,-0.756074926334524,True
6092,399464517.0,175142377.7,85594390.17,89547987.5,224322139.3,224322139.3,305550095.0,794.0,625794.6667,615845.3333,135767.3333,17518947.67,271178.6667,5283607.0,5120286.333,4442316.667,8171142.833,1738.0,1274.333333,33256830.33,13195185.0,41876375.16,97839484.0,129395157.7,113617320.8,224322139.3,-1,-0.7497310998593256,True
