201,IT-WM-197,READ-201,678.90,29/07/2024,656.78,29/06/2024,Mensual,READER-02,residencial,Valid,1,678.90,Rutina
220,IT-WM-216,READ-220,456.78,17/08/2024,444.56,17/07/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
221,IT-WM-217,READ-221,678.90,18/08/2024,656.78,18/07/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
222,IT-WM-218,READ-222,890.12,19/08/2024,878.90,19/07/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
223,IT-WM-219,READ-223,123.45,20/08/2024,111.23,20/07/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
224,IT-WM-220,READ-224,234.56,21/08/2024,222.34,21/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
225,IT-WM-221,READ-225,456.78,22/08/2024,444.56,22/07/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
226,IT-WM-222,READ-226,678.90,23/08/2024,656.78,23/07/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
227,IT-WM-223,READ-227,890.12,24/08/2024,878.90,24/07/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
228,IT-WM-224,READ-228,123.45,25/08/2024,111.23,25/07/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
229,IT-WM-225,READ-229,234.56,26/08/2024,222.34,26/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
230,IT-WM-226,READ-230,456.78,27/08/2024,444.56,27/07/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
231,IT-WM-227,READ-231,678.90,28/08/2024,656.78,28/07/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
232,IT-WM-228,READ-232,890.12,29/08/2024,878.90,29/07/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
233,IT-WM-229,READ-233,123.45,30/08/2024,111.23,30/07/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
234,IT-WM-230,READ-234,234.56,31/08/2024,222.34,31/07/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
235,IT-WM-231,READ-235,456.78,01/09/2024,444.56,01/08/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
236,IT-WM-232,READ-236,678.90,02/09/2024,656.78,02/08/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
237,IT-WM-233,READ-237,890.12,03/09/2024,878.90,03/08/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
238,IT-WM-234,READ-238,123.45,04/09/2024,111.23,04/08/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
239,IT-WM-235,READ-239,234.56,05/09/2024,222.34,05/08/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
240,IT-WM-236,READ-240,456.78,06/09/2024,444.56,06/08/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
241,IT-WM-237,READ-241,678.90,07/09/2024,656.78,07/08/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
242,IT-WM-238,READ-242,890.12,08/09/2024,878.90,08/08/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
243,IT-WM-239,READ-243,123.45,09/09/2024,111.23,09/08/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
244,IT-WM-240,READ-244,234.56,10/09/2024,222.34,10/08/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
245,IT-WM-241,READ-245,456.78,11/09/2024,444.56,11/08/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
246,IT-WM-242,READ-246,678.90,12/09/2024,656.78,12/08/2024,Monthly,READER-02,Residential,Valid,Yes,678.90,Routine
247,IT-WM-243,READ-247,890.12,13/09/2024,878.90,13/08/2024,Monthly,READER-04,Commercial,Valid,Yes,890.12,Routine
248,IT-WM-244,READ-248,123.45,14/09/2024,111.23,14/08/2024,Bimonthly,READER-01,Industrial,Valid,Yes,123.45,Routine
249,IT-WM-245,READ-249,234.56,15/09/2024,222.34,15/08/2024,Monthly,READER-03,Residential,Valid,Yes,234.56,Routine
250,IT-WM-246,READ-250,456.78,16/09/2024,444.56,16/08/2024,Monthly,READER-05,Residential,Valid,Yes,456.78,Routine
