No,ID_Medidor_Agua,ID_Lectura,Valor_Lectura,Fecha_Lectura,Valor_Lectura_Anterior,Fecha_Lectura_Anterior,Frecuencia_Lectura,ID_Lector,Tipo_Contrato,Validez_Lectura,Certificacion_ERP,Facturacion_Final,Razon_Lectura
334,IT-WM-330,LECT-334,234.56,13/02/2024,223.78,13/01/2024,Mensual,LECTOR-03,Residencial,Válido,Yes,234.56,Rutina
335,IT-WM-331,LECT-335,456.78,14/02/2024,445.67,14/01/2024,Mensual,LECTOR-05,Comercial,Válido,Yes,456.78,Rutina
336,IT-WM-332,LECT-336,678.90,15/02/2024,667.89,15/01/2024,Mensual,LECTOR-02,Industrial,Válido,Yes,678.90,Rutina
337,IT-WM-333,LECT-337,890.12,16/02/2024,889.01,16/01/2024,Mensual,LECTOR-04,Residencial,Válido,Yes,890.12,Rutina
338,IT-WM-334,LECT-338,123.45,17/02/2024,111.23,17/01/2024,Bimestral,LECTOR-01,Residencial,Válido,Yes,123.45,Rutina
339,IT-WM-335,LECT-339,345.67,18/02/2024,333.45,18/01/2024,Mensual,LECTOR-03,Comercial,Válido,Yes,345.67,Rutina
340,IT-WM-336,LECT-340,567.89,19/02/2024,555.67,19/01/2024,Mensual,LECTOR-05,Industrial,Válido,Yes,567.89,Rutina
341,IT-WM-337,LECT-341,789.01,20/02/2024,777.89,20/01/2024,Mensual,LECTOR-02,Residencial,Válido,Yes,789.01,Rutina
342,IT-WM-338,LECT-342,901.23,21/02/2024,899.01,21/01/2024,Mensual,LECTOR-04,Residencial,Válido,Yes,901.23,Rutina
343,IT-WM-339,LECT-343,123.45,22/02/2024,111.23,22/01/2024,Bimestral,LECTOR-01,Comercial,Válido,Yes,123.45,Rutina
344,IT-WM-340,LECT-344,234.56,23/02/2024,222.34,23/01/2024,Mensual,LECTOR-03,Industrial,Válido,Yes,234.56,Rutina
345,IT-WM-341,LECT-345,456.78,24/02/2024,444.56,24/01/2024,Mensual,LECTOR-05,Residencial,Válido,Yes,456.78,Rutina
346,IT-WM-342,LECT-346,678.90,25/02/2024,666.78,25/01/2024,Mensual,LECTOR-02,Residencial,Válido,Yes,678.90,Rutina
347,IT-WM-343,LECT-347,890.12,26/02/2024,888.90,26/01/2024,Mensual,LECTOR-04,Comercial,Válido,Yes,890.12,Rutina
348,IT-WM-344,LECT-348,123.45,27/02/2024,111.23,27/01/2024,Bimestral,LECTOR-01,Industrial,Válido,Yes,123.45,Rutina
349,IT-WM-345,LECT-349,234.56,28/02/2024,222.34,28/01/2024,Mensual,LECTOR-03,Residencial,Válido,Yes,234.56,Rutina
350,IT-WM-346,LECT-350,456.78,29/02/2024,444.56,29/01/2024,Mensual,LECTOR-05,Residencial,Válido,Yes,456.78,Rutina
